,OBJID,RA_PSEUDOHOST,DEC_PSEUDOHOST,Z,ZERR,ZWARN,DELTACHI2,SPECTYPE
53,T202103221439411p011439,219.92112151,1.2453629,0.211666723965585,1.36043250028973e-05,0,884.0460498631,GALAXY
54,A202104121440520p000156,220.21700214,0.03229775,0.359504845020647,2.70344522245538e-05,0,157.49491879344,GALAXY
55,A202103221435010m003706,218.75423903,-0.61864258,,,,,
56,A202104151436246m002825,219.10255125,-0.47376074,1.15574149454213,6.86679204998004e-05,0,197.167913392186,GALAXY
57,A202105241210028p014734,182.51187924,1.79294469,,,,,
58,T202103221409554p014131,212.48220532,1.691365,,,,,
59,T202106021430509m023125,217.71150112,-2.52338309,0.169871058120711,1.50989951248982e-05,0,147.388170316815,GALAXY
60,T202103221424573m001202,216.2393507,-0.20089189,0.128669371676736,1.70681934472718e-05,0,511.075714498758,GALAXY
61,A202105121418190m003822,214.57918394,-0.63969291,0.137897530472264,1.08585424281187e-05,0,590.824694722891,GALAXY
62,A202105241207292m012615,181.87183917,-1.43780529,,,,,
63,A202103221443116m002550,220.79812158,-0.43057413,0.32108451372721,2.78496248396072e-05,0,451.763979762793,GALAXY
64,A202104121446081p013214,221.53394572,1.53743348,0.806659376356765,6.94879247691066e-05,0,129.912044666708,GALAXY
65,A202105181448052p011917,222.02184043,1.32147662,,,,,
66,A202104271213476p012531,183.44846672,1.42526579,1.69454739322538,0.000174626362540819,4,0.945200157817453,GALAXY
67,A202105151431599p024459,217.99981482,2.74967456,,,,,
68,A202104061419476m032259,214.94835257,-3.38329829,,,,,
69,T202105241157497p011717,179.45717411,1.28665093,,,,,
70,T202104061439571m015814,219.98953046,-1.97643573,,,,,
71,A202104151445561p013327,221.48402239,1.55765277,0.262259580482115,1.7387724439259e-05,0,1093.90254974551,GALAXY
72,A202103221428463p020055,217.19323413,2.01525093,0.603631171732555,7.32150262978843e-05,0,43.945407435298,GALAXY
73,A202104091448015m034536,222.0062,-3.7604,0.280907843863477,6.04057628533175e-05,0,831.807580906898,GALAXY
74,T202104151438448p000628,219.68838117,0.109146,,,,,
75,T202105121449009m033052,222.25534047,-3.51485359,,,,,
76,A202104061417156p013726,214.315,1.6238,0.229731571730002,1.96287470184574e-05,0,1379.91317919269,GALAXY
77,T202103221427063m023806,216.77959129,-2.63325763,,,,,
78,T202105271200139p012106,180.05796763,1.35048024,,,,,
79,A202106021417314p004534,214.38105911,0.75947724,0.174741180063211,2.38649648410497e-05,0,962.190890409052,GALAXY
80,T202105121423187p000202,215.82832251,0.03443946,0.140385265728192,4.4541348434052e-06,0,2593.99999892712,GALAXY
81,T202105031415178p020156,213.82364352,2.03211275,0.216285724188912,5.55160245906679e-05,0,841.012152558193,GALAXY
82,A202105061449013m041234,222.25575351,-4.20977304,,,,,
83,T202106021434224p023158,218.58867271,2.53781219,,,,,
84,A202105301455154p013005,223.81420439,1.50133972,0.486890315938749,0.000138486792368953,0,105.537571305409,GALAXY
85,T202103221430049m033128,217.51985921,-3.52457196,,,,,
86,A202105241203151p012040,180.81303619,1.34456048,,,,,
87,T202104151451421m040544,222.92209963,-4.09788681,,,,,
88,A202105271401196p043609,210.3315291,4.60258614,0.150480818008073,1.48456241316397e-05,0,1100.59488098323,GALAXY
89,A202103221442037p000433,220.51579646,0.07575206,0.240504940504431,8.99960908944677e-06,0,14130.5805678368,QSO
90,A202104151439187m033838,219.82786423,-3.6439857,,,,,
91,A202104061431341m035839,217.89235586,-3.97741783,0.227026410848106,8.78119925853597e-06,0,1451.48744881153,GALAXY
92,T202105241214185m002735,183.57913598,-0.45804136,,,,,
93,T202105181421595m012435,215.49808556,-1.41010269,,,,,
94,T202105301208482p000436,182.20090945,0.08153405,,,,,
95,A202104091443337m004528,220.89070066,-0.75806432,0.762119048054956,3.50984442978297e-05,0,1223.73684430122,GALAXY
96,A202103221437106m015403,219.29434738,-1.90102782,,,,,
97,T202104061436284m030013,219.11839351,-3.00383362,,,,,
98,T202104061408197m001827,212.082,-0.3078,0.171802177220041,4.9776056636974e-05,0,535.212719474919,GALAXY
99,T202104091425296p000325,216.37328776,0.05696364,0.254299025742852,5.38622744757491e-05,0,271.183688361198,GALAXY
100,A202104061442064m005506,220.52669798,-0.91865916,0.141859855983298,1.32262215546173e-05,0,172.336058795452,GALAXY
101,A202104271200504p002724,180.21011135,0.45662622,0.22808112603659,2.47168026798554e-05,0,1164.9185102433,GALAXY
